id,title,severity,status,date
1,Malware infection,Low,In Progress,2025-02-02
2,Credential stuffing,Critical,Closed,2025-03-02
3,Ransomware detected,High,In Progress,2025-09-06
4,DDoS attack,Critical,Resolved,2025-09-25
5,Data breach,High,Open,2025-06-10
6,Cross-site scripting,Medium,In Progress,2025-08-08
7,Data breach,High,Closed,2025-04-07
8,Ransomware detected,Low,Closed,2025-02-27
9,Data breach,High,Closed,2025-07-29
10,Unauthorized access,Critical,Open,2025-09-16
11,Insider threat,Critical,Resolved,2024-12-16
12,Insider threat,Medium,Open,2025-02-23
13,Credential stuffing,Critical,Resolved,2025-05-29
14,DDoS attack,High,In Progress,2025-07-21
15,DDoS attack,High,Closed,2025-01-23
16,Ransomware detected,Critical,Open,2024-11-28
17,Unauthorized access,Low,Resolved,2025-07-02
18,SQL injection,Low,Resolved,2024-11-15
19,Ransomware detected,High,Closed,2025-07-22
20,Data breach,Low,In Progress,2025-03-28
21,Cross-site scripting,Critical,In Progress,2025-05-26
22,Credential stuffing,High,Open,2024-11-23
23,DDoS attack,High,Resolved,2025-07-07
24,Unauthorized access,Critical,Closed,2025-07-16
25,DDoS attack,Medium,Resolved,2025-06-21
26,Credential stuffing,Medium,Open,2025-05-18
27,Credential stuffing,High,Open,2025-09-13
28,Phishing attack,Low,Open,2025-04-11
29,Cross-site scripting,High,Closed,2025-02-07
30,Insider threat,Critical,Closed,2025-10-23
31,Ransomware detected,High,Closed,2025-01-22
32,DDoS attack,High,In Progress,2025-11-01
33,Unauthorized access,Medium,Closed,2024-12-02
34,Ransomware detected,Critical,Closed,2025-07-27
35,Ransomware detected,High,Resolved,2024-11-16
36,SQL injection,Low,Open,2025-03-29
37,Phishing attack,Critical,Open,2025-08-30
38,Unauthorized access,High,In Progress,2025-01-05
39,Cross-site scripting,High,In Progress,2024-12-14
40,Credential stuffing,Low,Open,2025-09-15
41,Phishing attack,Low,Closed,2025-02-05
42,DDoS attack,Low,In Progress,2025-05-05
43,Ransomware detected,Medium,Open,2025-05-22
44,Phishing attack,Low,Resolved,2025-09-20
45,Cross-site scripting,Critical,Open,2025-09-05
46,DDoS attack,Medium,Resolved,2025-03-30
47,Credential stuffing,Medium,Resolved,2025-10-02
48,Cross-site scripting,High,Closed,2025-07-31
49,Phishing attack,Low,Closed,2025-04-23
50,Phishing attack,Low,Closed,2025-08-20
51,Ransomware detected,Medium,Closed,2025-09-18
52,Ransomware detected,Medium,In Progress,2025-01-06
53,Ransomware detected,High,Open,2025-05-01
54,Unauthorized access,Low,In Progress,2025-09-08
55,Credential stuffing,Critical,Closed,2025-08-20
56,Ransomware detected,Low,Closed,2025-01-11
57,Unauthorized access,High,Open,2025-08-06
58,Ransomware detected,Critical,Resolved,2025-07-06
59,DDoS attack,Low,Open,2025-07-20
60,Malware infection,Low,Open,2025-02-17
61,Ransomware detected,Medium,Resolved,2025-06-13
62,Cross-site scripting,Medium,Open,2025-06-27
63,Unauthorized access,Medium,In Progress,2025-07-02
64,Ransomware detected,Medium,In Progress,2025-03-09
65,Insider threat,Medium,Closed,2025-05-08
66,DDoS attack,High,Open,2025-05-11
67,Phishing attack,High,Closed,2025-04-12
68,Phishing attack,Low,In Progress,2025-03-24
69,Phishing attack,Low,In Progress,2025-07-04
70,Insider threat,Low,Open,2025-02-08
71,Data breach,Medium,In Progress,2025-04-14
72,Credential stuffing,High,Open,2025-08-01
73,SQL injection,Critical,Resolved,2024-12-29
74,Data breach,Critical,Open,2025-10-12
75,Insider threat,High,Open,2025-02-19
76,Credential stuffing,High,Resolved,2025-06-05
77,Insider threat,Low,Closed,2025-08-13
78,Credential stuffing,Critical,Open,2025-05-08
79,Unauthorized access,High,Closed,2025-02-26
80,Insider threat,Low,Closed,2025-06-11
81,Credential stuffing,Low,Resolved,2025-03-31
82,Credential stuffing,Medium,Open,2024-12-01
83,Unauthorized access,High,Open,2025-04-04
84,Phishing attack,High,In Progress,2025-05-26
85,SQL injection,Low,Resolved,2024-12-29
86,Insider threat,Medium,Open,2025-06-13
87,Data breach,Critical,Resolved,2025-01-31
88,Data breach,Medium,Resolved,2025-05-24
89,Phishing attack,Medium,Resolved,2025-09-28
90,Ransomware detected,Medium,Resolved,2024-12-26
91,Ransomware detected,High,In Progress,2025-06-14
92,DDoS attack,High,Resolved,2025-10-08
93,Insider threat,High,Closed,2025-02-15
94,Malware infection,Low,Resolved,2025-08-06
95,Phishing attack,Medium,In Progress,2025-08-29
96,Data breach,High,Open,2025-11-02
97,DDoS attack,Critical,Open,2025-05-06
98,DDoS attack,Medium,In Progress,2025-09-27
99,SQL injection,Medium,Open,2025-04-03
100,Phishing attack,High,Closed,2025-09-28
101,SQL injection,Low,Closed,2025-07-28
102,Credential stuffing,Critical,Resolved,2025-06-14
103,SQL injection,Low,In Progress,2025-07-12
104,Malware infection,High,Closed,2025-10-08
105,Unauthorized access,Low,Resolved,2024-11-13
106,Credential stuffing,High,In Progress,2025-03-30
107,DDoS attack,Low,Open,2025-07-03
108,DDoS attack,Medium,Resolved,2025-07-28
109,SQL injection,Low,In Progress,2025-03-02
110,Phishing attack,Low,Resolved,2025-02-13
111,Credential stuffing,Medium,Open,2025-11-10
112,Cross-site scripting,Medium,Closed,2024-12-17
113,Insider threat,High,Closed,2025-07-18
114,Ransomware detected,Medium,Closed,2025-08-18
115,Phishing attack,High,Open,2024-11-21
116,SQL injection,Low,Open,2025-03-23
