id,name,source,category,size
1,Air Quality Index,AWS Open Data,Environment,3314 MB
2,Cybersecurity Incidents,AWS Open Data,Technology,3789 MB
3,Stock Market Prices,Google Dataset Search,Finance,2731 MB
4,Vehicle Registration,Data.gov,Transportation,2661 MB
5,Literacy Rates,Google Dataset Search,Education,3068 MB
6,Wildlife Populations,GitHub,Environment,776 MB
7,Air Quality Index,Data.gov,Environment,3626 MB
8,Air Quality Index,AWS Open Data,Environment,4414 MB
9,Climate Change Indicators,Kaggle,Environment,2158 MB
10,Football Player Stats,GitHub,Sports,878 MB
11,Marathon Records,GitHub,Sports,1518 MB
12,Mental Health Survey,Data.gov,Health,544 MB
13,Water Pollution,GitHub,Environment,2712 MB
14,Livestock Statistics,AWS Open Data,Agriculture,1127 MB
15,Nutrition Facts,GitHub,Health,1587 MB
16,Nutrition Facts,GitHub,Health,4427 MB
17,Hospital Admissions,AWS Open Data,Health,2976 MB
18,Tech Startup Funding,Kaggle,Technology,4326 MB
19,University Rankings,GitHub,Education,2772 MB
20,Cricket Match Data,Data.gov,Sports,3802 MB
21,COVID-19 Statistics,Google Dataset Search,Health,2996 MB
22,Traffic Volume Data,Google Dataset Search,Transportation,2347 MB
23,Credit Card Transactions,AWS Open Data,Finance,3283 MB
24,Tech Startup Funding,Kaggle,Technology,1827 MB
25,Air Quality Index,GitHub,Environment,4339 MB
26,Cricket Match Data,AWS Open Data,Sports,785 MB
27,Public Transport Usage,AWS Open Data,Transportation,651 MB
28,Software Repositories,Google Dataset Search,Technology,2144 MB
29,Cricket Match Data,Data.gov,Sports,2279 MB
30,Bank Loan Data,Google Dataset Search,Finance,3439 MB
31,Wildlife Populations,Data.gov,Environment,4427 MB
32,Literacy Rates,UCI,Education,3457 MB
33,Student Performance,UCI,Education,4276 MB
34,Insurance Claims,Data.gov,Finance,14 MB
35,Stock Market Prices,Data.gov,Finance,2053 MB
36,Bank Loan Data,UCI,Finance,3974 MB
37,Student Performance,Kaggle,Education,3740 MB
38,Climate Change Indicators,UCI,Environment,2310 MB
39,Public Transport Usage,GitHub,Transportation,2580 MB
40,Olympic Medal Counts,UCI,Sports,1545 MB
41,Forest Cover Data,Google Dataset Search,Environment,2001 MB
42,NBA Season Results,Kaggle,Sports,936 MB
43,Mental Health Survey,Kaggle,Health,748 MB
44,School Attendance,Kaggle,Education,570 MB
45,Mental Health Survey,Data.gov,Health,792 MB
46,Stock Market Prices,Kaggle,Finance,1627 MB
47,Water Pollution,Kaggle,Environment,3404 MB
48,Crop Yields,Data.gov,Agriculture,4956 MB
49,Flight Delays,Kaggle,Transportation,3289 MB
50,Software Repositories,Kaggle,Technology,2417 MB
51,Olympic Medal Counts,Data.gov,Sports,274 MB
52,Hospital Admissions,Google Dataset Search,Health,1372 MB
53,Vehicle Registration,AWS Open Data,Transportation,3062 MB
54,Software Repositories,UCI,Technology,2767 MB
55,Wildlife Populations,Google Dataset Search,Environment,1375 MB
56,Tech Startup Funding,UCI,Technology,2424 MB
57,School Attendance,GitHub,Education,2937 MB
58,Marathon Records,GitHub,Sports,1509 MB
59,Shipping Routes,Kaggle,Transportation,3641 MB
60,Marathon Records,AWS Open Data,Sports,2604 MB
61,Cricket Match Data,AWS Open Data,Sports,3248 MB
62,Credit Card Transactions,GitHub,Finance,4933 MB
63,Marathon Records,Google Dataset Search,Sports,957 MB
64,School Attendance,Kaggle,Education,3646 MB
65,Tech Startup Funding,Google Dataset Search,Technology,696 MB
66,Crop Yields,Data.gov,Agriculture,3695 MB
67,Water Pollution,AWS Open Data,Environment,1672 MB
68,Cancer Research Data,Kaggle,Health,929 MB
69,Literacy Rates,Data.gov,Education,2515 MB
70,Cancer Research Data,AWS Open Data,Health,1732 MB
71,Nutrition Facts,UCI,Health,179 MB
72,Climate Change Indicators,GitHub,Environment,19 MB
73,Flight Delays,AWS Open Data,Transportation,4095 MB
74,Vehicle Registration,UCI,Transportation,3993 MB
75,Vehicle Registration,GitHub,Transportation,2759 MB
76,Olympic Medal Counts,GitHub,Sports,3093 MB
77,Shipping Routes,Google Dataset Search,Transportation,3723 MB
78,Bank Loan Data,Kaggle,Finance,1375 MB
79,Vehicle Registration,GitHub,Transportation,216 MB
80,Cricket Match Data,Kaggle,Sports,2155 MB
81,Livestock Statistics,AWS Open Data,Agriculture,4291 MB
82,Nutrition Facts,GitHub,Health,691 MB
83,Stock Market Prices,GitHub,Finance,2383 MB
84,IoT Sensor Logs,UCI,Technology,1100 MB
85,Traffic Volume Data,AWS Open Data,Transportation,912 MB
86,Flight Delays,Google Dataset Search,Transportation,702 MB
87,Mental Health Survey,Kaggle,Health,1250 MB
88,Stock Market Prices,Kaggle,Finance,424 MB
89,Flight Delays,UCI,Transportation,4887 MB
90,Marathon Records,UCI,Sports,4478 MB
91,Cryptocurrency Trends,Data.gov,Finance,2549 MB
92,Public Transport Usage,UCI,Transportation,3235 MB
93,Livestock Statistics,UCI,Agriculture,4371 MB
94,Nutrition Facts,Data.gov,Health,2839 MB
95,Forest Cover Data,Kaggle,Environment,3226 MB
96,Cybersecurity Incidents,AWS Open Data,Technology,4508 MB
97,Cricket Match Data,Google Dataset Search,Sports,3313 MB
98,Online Learning Analytics,UCI,Education,2576 MB
99,Literacy Rates,GitHub,Education,4620 MB
100,NBA Season Results,AWS Open Data,Sports,3905 MB
101,Shipping Routes,UCI,Transportation,3528 MB
102,Water Pollution,Data.gov,Environment,4734 MB
103,Climate Change Indicators,Data.gov,Environment,1959 MB
104,Farm Equipment Sales,AWS Open Data,Agriculture,1657 MB
105,Crop Yields,UCI,Agriculture,4943 MB
106,NBA Season Results,UCI,Sports,4926 MB
107,Crop Yields,AWS Open Data,Agriculture,522 MB
108,Vehicle Registration,GitHub,Transportation,2027 MB
109,Marathon Records,GitHub,Sports,3903 MB
110,Football Player Stats,UCI,Sports,588 MB
111,Software Repositories,AWS Open Data,Technology,291 MB
112,Soil Quality,Data.gov,Agriculture,464 MB
113,University Rankings,GitHub,Education,4487 MB
114,Flight Delays,Data.gov,Transportation,4553 MB
115,Fertilizer Use,UCI,Agriculture,633 MB
116,IoT Sensor Logs,UCI,Technology,4891 MB
117,IoT Sensor Logs,Kaggle,Technology,244 MB
118,Credit Card Transactions,GitHub,Finance,3843 MB
119,Literacy Rates,GitHub,Education,1962 MB
120,Cybersecurity Incidents,AWS Open Data,Technology,4408 MB
121,Shipping Routes,UCI,Transportation,1323 MB
122,Cancer Research Data,UCI,Health,3121 MB
123,Cancer Research Data,GitHub,Health,2893 MB
124,School Attendance,AWS Open Data,Education,1896 MB
125,School Attendance,Google Dataset Search,Education,2704 MB
126,Marathon Records,Google Dataset Search,Sports,3149 MB
127,Cryptocurrency Trends,Data.gov,Finance,275 MB
128,Farm Equipment Sales,GitHub,Agriculture,4798 MB
129,Climate Change Indicators,Kaggle,Environment,4236 MB
130,Software Repositories,Kaggle,Technology,2433 MB
131,Forest Cover Data,GitHub,Environment,3046 MB
132,NBA Season Results,Data.gov,Sports,488 MB
133,Cybersecurity Incidents,GitHub,Technology,537 MB
134,Nutrition Facts,Google Dataset Search,Health,615 MB
135,Football Player Stats,Kaggle,Sports,463 MB
136,Vehicle Registration,AWS Open Data,Transportation,2618 MB
137,Cryptocurrency Trends,Kaggle,Finance,2385 MB
138,Insurance Claims,GitHub,Finance,162 MB
139,COVID-19 Statistics,UCI,Health,2813 MB
140,Crop Yields,AWS Open Data,Agriculture,3096 MB
141,IoT Sensor Logs,Kaggle,Technology,2452 MB
142,Wildlife Populations,AWS Open Data,Environment,4657 MB
143,Credit Card Transactions,GitHub,Finance,2324 MB
144,Student Performance,UCI,Education,4942 MB
145,Olympic Medal Counts,UCI,Sports,3693 MB
146,Cancer Research Data,Google Dataset Search,Health,1515 MB
147,Mental Health Survey,Google Dataset Search,Health,1487 MB
148,Flight Delays,GitHub,Transportation,1118 MB
149,Software Repositories,AWS Open Data,Technology,1484 MB
150,School Attendance,Data.gov,Education,2577 MB
151,Hospital Admissions,Kaggle,Health,2569 MB
152,AI Research Papers,AWS Open Data,Technology,2763 MB
153,Olympic Medal Counts,Google Dataset Search,Sports,4501 MB
154,Online Learning Analytics,Kaggle,Education,2563 MB
155,COVID-19 Statistics,UCI,Health,4792 MB
156,Climate Change Indicators,AWS Open Data,Environment,2300 MB
157,Forest Cover Data,Kaggle,Environment,4038 MB
158,Credit Card Transactions,GitHub,Finance,1230 MB
159,Farm Equipment Sales,Google Dataset Search,Agriculture,2881 MB
160,Student Performance,AWS Open Data,Education,2751 MB
161,Bank Loan Data,UCI,Finance,4281 MB
162,Public Transport Usage,Kaggle,Transportation,1421 MB
163,Cricket Match Data,Google Dataset Search,Sports,3856 MB
164,Vehicle Registration,Data.gov,Transportation,4318 MB
165,Vehicle Registration,Kaggle,Transportation,3769 MB
166,Farm Equipment Sales,Kaggle,Agriculture,4177 MB
