id,title,priority,status,created_date
1,New user account setup,High,Resolved,2024-07-07
2,Laptop overheating,Critical,Closed,2024-10-07
3,Monitor flickering,Low,Closed,2024-06-12
4,Password reset needed,Medium,In Progress,2025-01-10
5,Software license expired,Critical,In Progress,2025-03-31
6,Blue screen error,Medium,In Progress,2025-01-21
7,Laptop overheating,Medium,Resolved,2024-02-08
8,Software installation request,High,On Hold,2024-01-07
9,Two-factor authentication issue,Low,Resolved,2024-11-10
10,Hardware replacement request,Medium,In Progress,2024-06-11
11,Access denied to shared folder,Critical,On Hold,2024-09-24
12,Monitor flickering,Low,Resolved,2024-02-05
13,Laptop overheating,High,Open,2025-01-13
14,Data backup failure,High,Closed,2025-02-10
15,Blue screen error,Critical,Resolved,2024-09-13
16,Outlook not opening,Critical,On Hold,2024-05-15
17,Slow internet speed,Low,Resolved,2025-04-02
18,Hardware replacement request,Medium,Closed,2024-06-20
19,VPN connection failed,Low,Open,2024-06-09
20,Hardware replacement request,High,Closed,2025-08-20
21,System crash,Medium,Open,2024-02-23
22,Password reset needed,Medium,Resolved,2025-06-06
23,Slow internet speed,Critical,Resolved,2025-02-10
24,Data backup failure,Low,On Hold,2025-07-22
25,Antivirus update issue,Critical,On Hold,2025-06-30
26,Server downtime alert,Critical,On Hold,2025-10-21
27,Software license expired,Medium,Resolved,2025-06-14
28,Blue screen error,Medium,Open,2024-06-24
29,Two-factor authentication issue,Medium,In Progress,2024-02-11
30,Software installation request,Medium,Closed,2024-04-23
31,Laptop overheating,Low,In Progress,2025-05-04
32,System crash,Low,In Progress,2025-06-29
33,Antivirus update issue,Critical,On Hold,2025-06-26
34,Printer not responding,Low,Closed,2024-12-21
35,New user account setup,High,Open,2025-08-04
36,Unable to connect to WiFi,High,Open,2024-07-18
37,Monitor flickering,Medium,In Progress,2024-04-29
38,Monitor flickering,Critical,Open,2024-12-07
39,Printer not responding,High,In Progress,2024-07-27
40,New user account setup,Critical,Open,2025-09-28
41,Password reset needed,Low,On Hold,2025-01-29
42,Software license expired,Low,On Hold,2024-03-12
43,Software license expired,Low,Closed,2025-03-13
44,Password reset needed,Medium,On Hold,2025-09-03
45,Two-factor authentication issue,High,Resolved,2024-12-25
46,Server downtime alert,Medium,Resolved,2025-02-01
47,Laptop overheating,Medium,Closed,2023-12-22
48,Password reset needed,Critical,Resolved,2025-01-10
49,System crash,Critical,Open,2024-07-03
50,Unable to connect to WiFi,Low,On Hold,2024-02-03
51,Access denied to shared folder,Low,On Hold,2025-03-15
52,Password reset needed,Low,Open,2025-05-27
53,Blue screen error,High,In Progress,2025-05-10
54,Laptop overheating,Low,On Hold,2025-08-20
55,System crash,High,Resolved,2024-04-06
56,Hardware replacement request,High,On Hold,2024-04-14
57,Antivirus update issue,Medium,Open,2025-07-27
58,Hardware replacement request,High,Open,2024-05-16
59,Blue screen error,Medium,Resolved,2025-08-26
60,Password reset needed,Critical,Closed,2024-01-11
61,Email not syncing,Critical,On Hold,2025-10-08
62,Slow internet speed,Critical,In Progress,2024-11-02
63,Printer not responding,Medium,Closed,2025-10-29
64,Antivirus update issue,Medium,Resolved,2024-10-29
65,Hardware replacement request,High,On Hold,2025-02-18
66,Password reset needed,Critical,Closed,2025-04-04
67,Data backup failure,Critical,Closed,2025-10-08
68,Hardware replacement request,Critical,In Progress,2024-05-26
69,Hardware replacement request,Medium,Closed,2025-06-11
